form,meaning,type,etymology
悠,"distant, remote; long, far; carefree",pictophonetic,heart
患,suffering; misfortune; trouble; to suffer,pictophonetic,heart
悧,"active; clever, sharp; smooth",ideographic,One with a sharp 刂 wit 忄; 利 also provides the pronunciation
您,honorific for 'you',ideographic,You 你 said with affection 心
悱,overcome with emotion; at a loss for words,pictophonetic,heart
悲,"sorrow, sadness, grief; to be sorry",pictophonetic,heart
悴,"to suffer; haggard, emaciated",pictophonetic,heart
怅,disappointed; regretful; upset,pictophonetic,heart
闷,"gloomy, depressed, melancholy",pictophonetic,heart
悸,"apprehensive, fearful; perturbed",pictophonetic,heart
悻,"anger, frustration",pictophonetic,heart
悼,"to grieve, to lament, to mourn",pictophonetic,heart
情,"emotion, feeling, sentiment",pictophonetic,heart
惆,"distressed, regretful, sad",pictophonetic,heart
惋,"to regret, to be sorry",pictophonetic,heart
惑,"to confuse, to mislead; to doubt",ideographic,An uncertain 或 heart 心; 或 also provides the pronunciation
惓,"candid, sincere; careful, earnest",pictophonetic,heart
惕,"cautious, careful, alert",pictophonetic,heart
惘,"dejected, discouraged",pictophonetic,heart
惙,"sad, melancholy; mournful, grieving",pictophonetic,heart
惚,"confused, absent-minded",ideographic,To neglect 忽 the mind 忄; 忽 also provides the pronunciation
惛,"confused, forgetful; senile; stupid",ideographic,Night falling 昏 on the mind 忄; 昏 also provides the pronunciation
惜,"pity, regret; to rue; to begrudge",ideographic,To feel 忄 for the past 昔; 昔 also provides the pronunciation
惝,"alarmed, agitated",pictophonetic,heart
惟,"but, however, nevertheless; only",,
惠,"favor, benefit, blessing, kindness",pictophonetic,heart
恶,"bad, evil, wicked; to hate, to loathe; foul, nauseating",pictophonetic,heart
惦,"to think of, to remember, to miss",pictophonetic,mind
惰,"lazy, idle, indolent; careless",pictophonetic,mind
恼,"angry, wrathful",pictophonetic,heart
恽,"to devise, to plan; to deliberate, to consult",ideographic,To plan 忄 for a battle 军; 军 also provides the pronunciation
想,"to believe, to wish for; to consider, to plan, to think",pictophonetic,mind
惴,"nervous, apprehensive",pictophonetic,heart
惶,"anxious, nervous, uneasy",pictophonetic,heart
蠢,"to wriggle; stupid, silly, fat",pictophonetic,worm
惹,"to incite, to irritate, to offend, to vex",pictophonetic,heart
惺,"intelligent, clever, astute",ideographic,A brilliant 星 mind 忄; 星 also provides the pronunciation
恻,anguished; sympathetic,pictophonetic,heart
愀,anxious; blushing; to change one's countenance,pictophonetic,heart
愁,"anxious, worried",pictophonetic,heart
愆,"error, fault, mistake, transgression",pictophonetic,heart
愈,"to recover, to heal; more and more",pictophonetic,heart
愉,"pleasant, delightful; to please",pictophonetic,heart
愍,"to pity, to sympathize with",pictophonetic,heart
愎,"stubborn, obstinate, headstrong",ideographic,To persist 复 in error 忄; 复 also provides the pronunciation
意,"thought, idea, opinion; desire, wish; meaning, intention",pictophonetic,heart
愕,"startled, alarmed, astonished",pictophonetic,heart
愚,"stupid, foolish",pictophonetic,heart
爱,"to love, to like, to be fond of; love, affection",ideographic,To bring a friend 友 into one's house 冖
感,"to affect, to move, to touch; to perceive, to sense",ideographic,Two hearts 心 beating together 咸
愣,"dazed, stupefied",pictophonetic,heart
悫,modest; sincere,pictophonetic,heart
愫,"sincere, honest, guileless",ideographic,With a pure 素 heart 忄; 素 also provides the pronunciation
诉,"to accuse, to sue; to inform; to narrate",ideographic,Words 讠 of blame 斥; 斥 also provides the pronunciation
怆,"sad, disconsolate, broken-hearted",pictophonetic,heart
恺,"to enjoy; kind; joyful, content",pictophonetic,heart
忾,"anger, wrath, hatred, enmity",ideographic,A heart 忄 full of anger 气; 气 also provides the pronunciation
愿,"desire, wish; honest, virtuous; ready, willing",pictophonetic,heart
栗,chestnut tree; chestnuts; surname,ideographic,A tree 木 bearing nuts 覀; compare 果
慈,"gentle, humane, kind, merciful",pictophonetic,heart
慊,"satisfied, content",pictophonetic,heart
态,"manner, bearing, attitude",pictophonetic,heart
慌,"frantic, nervous, panicked",pictophonetic,heart
愠,"angry, indignant; resentful, sulking",pictophonetic,heart
慎,"cautious, prudent",pictophonetic,heart
慕,"to admire, to desire, to long for",pictophonetic,heart
惨,"miserable, wretched; cruel, inhuman",pictophonetic,heart
惭,"ashamed, humiliated; shameful",pictophonetic,heart
慝,"an evil thought; sin, vice",ideographic,To hide 匿 evil in one's heart 心
恸,"sadness, grief; to mourn, to be moved",ideographic,Moving 动 and sad 忄; 动 also provides the pronunciation
慢,"slowly, leisurely; sluggish",pictophonetic,heart
惯,"habit, custom; habitual, usual",pictophonetic,heart
慧,"bright, intelligent; intelligence",pictophonetic,mind
怄,annoyed,pictophonetic,heart
怂,"to arouse, to incite, to instigate",pictophonetic,heart
虑,"anxious, concerned, worried",ideographic,A tiger 虍 striking fear into the heart 心
慰,"to calm, to comfort, to reassure",pictophonetic,heart
悭,"miserly, stingy, thrifty",ideographic,Having a hard 坚 heart 忄; 坚 also provides the pronunciation
慑,"afraid, scared; to frighten, to intimidate",pictophonetic,heart
慵,"lazy, indolent; easy-going",pictophonetic,heart
庆,"to congratulate, to celebrate",ideographic,A great 大 celebration in a house 广
慷,"ardent, fervent; generous, magnanimous",pictophonetic,heart
戚,"ashamed, grieving; related to; relative",ideographic,A younger brother 尗 killed in a war 戈
欲,"desire, want, longing, intent",pictophonetic,lack
忧,"sad, grieving; melancholy, grief",pictophonetic,heart
憩,to rest,pictophonetic,mind
惫,"tired, weary, fatigued",pictophonetic,ponder
憋,"to stifle, to restrain, to choke; to suppress one's inner feelings",pictophonetic,heart
憎,"to abhor, to detest, to hate",pictophonetic,heart
怜,"to pity, to sympathize with",pictophonetic,heart
愦,"confused, muddle-headed; troubled",pictophonetic,heart
憔,"worn-out, haggard, emaciated",pictophonetic,heart
惮,"to fear, to dread; to dislike, to avoid",pictophonetic,heart
憝,"to dislike; to abhor, to hate",pictophonetic,heart
愤,"anger, indignation; to hate, to resent",pictophonetic,heart
憧,"indecisive, irresolute; to yearn for",pictophonetic,heart
憨,"silly, foolish; coquettish",pictophonetic,heart
悯,"to pity, to sympathize with; to grieve for",pictophonetic,heart
憬,"to rouse, to awaken; to become conscious",pictophonetic,mind
怃,"disappointed, regretful",pictophonetic,heart
宪,"constitution, statute, law",pictophonetic,roof
忆,"to remember, to reflect upon; memory",pictophonetic,heart
憷,"painful; privation, suffering",ideographic,A pained 楚 heart 忄; 楚 also provides the pronunciation
憾,"regret, remorse",pictophonetic,heart
懂,"to understand, to know",pictophonetic,mind
恳,"sincere, earnest, cordial",pictophonetic,heart
懈,"idle, relaxed; negligent, remiss",pictophonetic,heart
应,"should, must; to respond, to handle; to deal with, to cope",,
懊,vexed; regretful; nervous,pictophonetic,heart
懋,"grand, majestic, splendid",pictophonetic,heart
怿,"glad, pleased; to enjoy",pictophonetic,heart
懔,afraid of; in awe of,pictophonetic,heart
懞,to cover; to deceive; Mongolia,pictophonetic,heart
怼,"hatred, resentment; to dislike, to hate",pictophonetic,heart
懑,"sad, sorrowful, sick at heart",ideographic,With a heavy 满 heart 心; 满 also provides the pronunciation
懦,"weak, timid, cowardly",pictophonetic,heart
恹,"feeble, sickly, weak; tranquil",pictophonetic,heart
懮,"calm, liesurely; to procrastinate",pictophonetic,heart
惩,"to discipline, to punish, to reprimand, to warn",pictophonetic,heart
懵,"stupid, ignorant, dull",pictophonetic,mind
怀,"bosom, breast; to carry in one's bosom",pictophonetic,heart
悬,"to hang, to hoist, to suspend; hung",ideographic,"Pride 心  in one's country 县, expressed by a flag; 县 also provides the pronunciation"
忏,"to regret, to repent; confession, penitence",pictophonetic,heart
惧,"to fear, to dread",pictophonetic,heart
欢,"happy, glad, joyful",,
懿,"admirable, esteemed, virtuous",pictophonetic,heart
恋,"love; to yearn for, to long for",pictophonetic,heart
戆,"stupid, simple, simple-minded",pictophonetic,mind
戈,"spear, lance, halberd",pictographic,A spear pointing to the bottom-right
戉,"halberd, battle-axe",pictographic,An axe swinging to the left
戊,5th heavenly stem,,
戌,11th terrestrial branch,,
戍,"to garrison, to defend the border",ideographic,Arms 戈 surrounding the country 丶
戎,"arms, armaments; military affairs",ideographic,A hand holding a lance 戈
成,"to accomplish; to become; to complete, to finish; to succeed",,
我,"I, me, my; our, us",ideographic,A hand 扌 holding a weapon 戈
戒,"to warn, to admonish; to swear off, to avoid",ideographic,Two hands 廾 brandishing a spear 戈
戋,"small, narrow; tiny, little",,
戕,"to kill, to slay; to wound, to injure",pictophonetic,spear
或,"or, either, else; maybe, perhaps, possibly",ideographic,"To defend yourself 口 with a spear 戈; ""or else"""
戛,lance; to lightly tap or strike,ideographic,To strike 戈 someone on the nose 自
戟,a double-bladed axe,ideographic,An axe 戈 with blades on both sides 龺
戠,sword; potter's clay; to gather,pictophonetic,spear
戡,"to subjugate, to subdue, to quell, to kill",pictophonetic,spear
戢,"to collect oneself; to put away, to store",pictophonetic,spear
戤,to infringe upon a trademark,pictophonetic,overflow
戥,a steelyard balance for weighing money,pictophonetic,spear
戗,to support,pictophonetic,spear
戬,"to exterminate, to destroy; blessing",pictophonetic,spear
截,"to cut off, to obstruct, to stop; segment; intersection",ideographic,A bird 隹 cut off from its nest 十 by a weapon 戈
戏,"play, show, theater",ideographic,A hand 又 doing tricks with a spear 戈
战,"war, fighting, battle",pictophonetic,spear
戳,"to pierce, to prick, to stab; stamp, seal",pictophonetic,spear
戴,"to support; to respect; to put on, to wear; surname",,
户,door; family,pictographic,Simplified form of 戶; a door swinging on its hinge
戽,to bale out; to irrigate,pictophonetic,bucket
戾,"perverse, rebellious, recalcitrant",ideographic,A dog 犬 that won't come indoors 户
房,"building, house, room",pictophonetic,door
所,"place, location; ""that which"", a particle introducing a passive clause",ideographic,An axe 斤 swung at a door 户
扁,"flat; board, sign, tablet",,
扂,door latch,pictophonetic,door
扃,"door latch, crossbar",pictophonetic,door
扆,screen door,ideographic,A cloth 衣 door 户; 衣 also provides the pronunciation
扇,fan; panel; to flap,ideographic,A feathered 羽 fan in the shape of a folding door 户
扈,"escort, retinue; insolent",pictophonetic,city
扉,door panel,pictophonetic,door
手,hand,pictographic,A hand with the fingers splayed
扌,hand,pictographic,A hand with the fingers splayed; compare 手
才,"ability, talent, gift; just, only",ideographic,"A sprout growing in the ground, representing a budding talent"
扎,"to bind, to wrap; to pierce; to stop",ideographic,A hand 扌 tying a bundle with string 乚
扒,"to scratch, to dig up; to crouch, to crawl",pictophonetic,hand
打,"to attack, to beat, to hit, to strike",pictophonetic,hand
扔,"to throw, to hurl, to cast away",pictophonetic,hand
払,"shake off, brush away; dust",pictophonetic,hand
托,"to raise, to support; to entrust, to rely on",ideographic,Using one's hands 扌 for support 乇; 乇 also provides the pronunciation
扛,to lift; to carry on one's shoulders,ideographic,Labor 工 done by hand 扌; 工 also provides the pronunciation
捍,"to defend, to guard; to ward off",pictophonetic,hand
扢,"to clean, to rub",pictophonetic,hand
扣,"to detain; to knock, to tap; button",pictophonetic,hand
扦,"to probe, to poke, to pierce, to pick at",pictophonetic,hand
扭,"to turn, to twist, to wrench; to grasp, to seize",pictophonetic,hand
扮,"costume, disguise; to dress up",pictophonetic,hand
扯,"to rip, to tear; to haul; casual talk",pictophonetic,hand
扳,"to drag, to pull; to twist",pictophonetic,hand
扶,"to support, to protect, to help",pictophonetic,hand
批,"comment, criticism; batch, lot; wholesale",pictophonetic,hand
扼,"to clutch, to grasp; to choke, to strangle",pictophonetic,hand
找,"to search for, to look for, to find; change (as in money)",ideographic,To go searching with a spear 戈 in hand 扌
承,"to undertake, to bear, to accept a duty; inheritance",ideographic,Three hands 手 lifting a dead body 了
技,"ability, talent; skill, technique",pictophonetic,hand
抃,"to cheer, to clap",pictophonetic,hand
抄,"copy, plagiarism; to confiscate, to seize",pictophonetic,hand
抉,"to select, to choose; to pluck, to gouge",ideographic,To choose 夬 by hand 扌; 夬 also provides the pronunciation
把,"to grasp, to hold; to guard, to take; handle",pictophonetic,hand
抑,"to curb, to hinder; to keep down, to repress",pictophonetic,hand
抒,to express; to pour out,pictophonetic,give
抓,"to clutch, to grab, to seize",ideographic,A hand 扌 with claws 爪; 爪 also provides the pronunciation
投,"to pitch, to throw; to bid, to invest",pictophonetic,hand
抖,"to tremble, to shake, to rouse",pictophonetic,hand
抗,"to defy, to fight, to resist",ideographic,Fighting 亢 with bare hands 扌; 亢 also provides the pronunciation
折,"to break, to snap; to fold, to bend; to bow; humble",ideographic,A hand 扌 wielding an axe 斤
拗,"to pull, to drag; perverse, obstinate; bent, warped",pictophonetic,hand
抨,to impeach; to criticize,pictophonetic,hand
披,"to wear; to split, to crack",ideographic,To put on 扌 fur 皮; 皮 also provides the pronunciation
抬,"to carry, to lift, to raise",pictophonetic,hand
抱,"to embrace, to hold in one's arms; to enfold",ideographic,To wrap 包 in one's arms 扌; 包 also provides the pronunciation
抵,to resist; to arrive; mortgage,pictophonetic,hand
抹,"to apply; to erase, to smear, to wipe off",pictophonetic,hand
抻,to pull,pictophonetic,hand
押,"to arrest, to detain; to deposit, to pledge; mortgage",pictophonetic,hand
抽,"to draw out, to pull out; to sprout",pictophonetic,hand
抿,"to press, to smooth; to purse the lips",pictophonetic,hand
拂,"to shake off, to brush away; dust",pictophonetic,hand
拄,"post; to lean on; to prod, to ridicule",pictophonetic,hand
拆,"to break open, to split up, to tear apart",pictophonetic,hand
拇,thumb; big toe,pictophonetic,hand
拈,to pick up with the fingers; to draw lots,ideographic,To divine 占 by hand 扌; 占 also provides the pronunciation
拉,"to pull, to drag; to seize, to hold; to lengthen; to play (a violin)",pictophonetic,hand
拊,"to pat, to slap, to tap; the handle of a vessel",pictophonetic,hand
抛,"to abandon, to throw away; to fling, to toss",pictophonetic,hand
拌,to mix,pictophonetic,hand
拍,"to clap, to tap; to hit, to beat, to slap; beat, rhythm",pictophonetic,hand
拎,"to lift, to haul, to take",pictophonetic,hand
拐,"to kidnap, to abduct; to turn; crutch",ideographic,To take another 另 by force 扌
拑,"to clamp, to pin down, to tie down",pictophonetic,hand
拒,"to defend, to ward off; to refuse",pictophonetic,hand
拓,"to develop, to expand, to open up",pictophonetic,hand
拔,"to uproot, to pull out; to select, to promote",pictophonetic,hand
拖,"to drag, to haul, to tow; to delay",pictophonetic,hand
拘,"to detain, to restrain, to seize",pictophonetic,hand
拙,"awkward, clumsy; dull, stupid",pictophonetic,hand
拚,"to reject, to disregard, to go all out",pictophonetic,hand
招,to summon; to recruit; to levy,ideographic,A call 召 to arms 扌; 召 also provides the pronunciation
拜,"to bow, to salute; to worship, to pay respects",ideographic,Two hands 手 put together in respect
括,"to embrace, to enclose, to include",pictophonetic,hand
拭,to wipe away stains with a cloth,pictophonetic,hand
拮,"busy, occupied; to pursue",pictophonetic,hand
拯,"to aid, to help; to lift, to raise",ideographic,To give 丞 a hand 扌; 丞 also provides the pronunciation
拱,"to salute, to bow; arched; arch",pictophonetic,hand
拳,fist; various forms of boxing,pictophonetic,hand
拴,"to fasten, to bind",pictophonetic,hand
拶,"to squeeze, to press hard, to force",pictophonetic,hand
拷,"to torture, to interrogate; to beat, to flog",ideographic,To question 考 by hand 扌; 考 also provides the pronunciation
拼,"to link, to join together; to incorporate",pictophonetic,hand
拽,"to drag, to tow; to throw; to twist",ideographic,To pull 曳 by hand 扌; 曳 also provides the pronunciation
拾,"to collect, to pick up, to tidy up; ten (bankers' anti-fraud numeral)",ideographic,To gather 合 things in one's hands 扌
持,"to hold, to support, to sustain",pictophonetic,hand
指,"finger, toe; to point, to indicate",ideographic,To point 旨 by hand 扌; 旨 also provides the pronunciation
挈,"to assist, to help; to lead by hand",pictophonetic,hand
按,"to check, to control, to push, to restrain",pictophonetic,hand
挎,to carry,pictophonetic,hand
挑,"to select, to choose; picky, choosy; a load",pictophonetic,hand
挖,"to dig, to excavate",ideographic,To dig out 扌 a hollow 穵; 穵 also provides the pronunciation
挨,"close by, near, next to, towards, against; to lean on; to wait",pictophonetic,hand
挪,"to shift, to move",pictophonetic,hand
挫,"to check, to obstruct, to push down",pictophonetic,hand
振,"to arouse, to excite; to rouse, to shake",pictophonetic,hand
挲,to feel or fondle with the fingers,pictophonetic,hand
挹,to bale out; to pour,pictophonetic,hand
挺,"to straighten, to stand upright; rigid, stiff",pictophonetic,hand
挽,"to pull, to lead; to pull back, to draw a bow",pictophonetic,hand
挟,to seize; to hold to one's bosom,ideographic,Wedged 夹 in one's arms 扌; 夹 also provides the pronunciation
捂,to resist,ideographic,To resist 吾 by hand 扌; 吾 also provides the pronunciation
捃,"to gather, to sort",pictophonetic,hand
救,"aid, help; to rescue, to save",pictophonetic,hand
捅,"to jab, to poke",pictophonetic,hand
捆,"to bind, to tie, to truss up; a bundle",pictophonetic,hand
捉,"to clutch, to grasp, to seize",pictophonetic,hand
捋,"to gather, to pluck; to rub off, to scrape",ideographic,To take 扌 a handful 寽; 寽 also provides the pronunciation
捌,"to split, to break open; eight (bankers' anti-fraud numeral)",ideographic,To separate 别 by hand 扌; 别 also provides the pronunciation
捎,"to carry, to take; to select",pictophonetic,hand
捏,"to knead, to mold, to pinch",pictophonetic,hand
捐,"to give, to donate; to give up, to renounce",pictophonetic,hand
捕,"to arrest, to catch, to seize",pictophonetic,hand
捧,to hold or offer with both hands,ideographic,An offering 奉 made with two hands 扌; 奉 also provides the pronunciation
舍,"house, dwelling; to reside, to dwell; to abandon, to give up",pictophonetic,the shape of a roof
捩,"to twist, to tear, to snap",pictophonetic,hand
扪,"to stoke, to pat; to grope, to feel",pictophonetic,hand
捭,"to open up, to spread out",pictophonetic,hand
捱,"to put off, to procrastinate; to endure",pictophonetic,hand
捶,"to beat, to lash, to strike with a cane",pictophonetic,hand
捺,to press down firmly with the fingers,pictophonetic,hand
捻,to twist or nip with the fingers,pictophonetic,hand
掀,to stir up; to turn over,pictophonetic,hand
掂,"to heft, to weigh; to hold in the palm",pictophonetic,hand
扫,"to clean, to sweep, to wipe away; to weed out; to wipe out",ideographic,Simplified form of 掃; to use 扌 a broom 帚; 帚 also provides the pronunciation
抡,"to swing, to flourish, to brandish",pictophonetic,hand
掇,"to pick up, to gather, to collect",pictophonetic,hand
授,"to award, to confer, to instruct, to teach",pictophonetic,hand
掉,"to drop, to fall, to remove",pictophonetic,hand
掊,to extract; to injure,pictophonetic,hand
掌,"in charge; the palm of the hand, the sole of the foot",pictophonetic,hand
掎,"to pull, to drag; to drag one's feet",pictophonetic,hand
掏,to take out; to pull out; to clean out,pictophonetic,hand
掐,"to hold, to choke; to gather in one hand",pictophonetic,hand
排,"row, rank, file; to eliminate, to remove",pictophonetic,hand
掖,"to tuck, to fold; to support",pictophonetic,hand
掘,"to dig, to excavate",pictophonetic,hand
挣,"to struggle, to strive, to endeavor",ideographic,To fight 争 by hand 扌; 争 also provides the pronunciation
挂,"to suspend, to put up, to hang; suspense",pictophonetic,hand
掠,"to pillage, to ransack",pictophonetic,hand
采,"to collect, to gather; to pick, to pluck",ideographic,A hand picking 爫 fruit from a tree 木
探,"to find, to locate; to grope for, to search for",pictophonetic,hand
掣,"to pull, to drag; to hinder, to pull back",pictophonetic,hand
接,"to connect, to join; to receive, to meet, to answer the phone",pictophonetic,hand
控,"to accuse, to charge; to control; to sue",pictophonetic,hand
推,to push; to expel; to drive; to decline,pictophonetic,hand
掩,"to cover up (with a hand); to ambush, to conceal; to shut",pictophonetic,hand
措,to arrange; to execute on; to manage,pictophonetic,hand
掬,to grasp or hold with both hands,ideographic,To take 扌a handful 匊; 匊 also provides the pronunciation
掭,to manipulate,pictophonetic,hand
掮,to bear on the shoulders,ideographic,To bear 扌 on the shoulders 肩; 肩 also provides the pronunciation
掰,"to rip, to tear",ideographic,To tear something 分 with both hands 手
掱,to pickpocket,ideographic,"Someone with three hands 手, representing sleight-of-hand"
碰,"to touch; to meet with; to collide, to bump into",pictophonetic,rock
掾,a general designation of officials,pictophonetic,hand
拣,"to choose, to select; to gather, to pick up",pictophonetic,hand
揄,"to lift, to raise; to praise; to hang, to flap",pictophonetic,hand
揆,"to consider, to estimate",pictophonetic,hand
揉,"to massage, to knead; to crush by hand",ideographic,A gentle 柔 hand 扌; 柔 also provides the pronunciation
揍,"to hit, to beat; to smash, to break",pictophonetic,hand
揎,to pull up one's sleeves; to prepare to fight,pictophonetic,hand
描,"to copy, to depict, to sketch, to trace",pictophonetic,hand
提,"to hold in the hand; to lift, to raise",pictophonetic,hand
插,"to insert, to stick in; to pierce; to plant",pictophonetic,hand
揖,"to bow, to salute; to defer, to yield",pictophonetic,hand
扬,"to flutter, to wave; to hoist, to raise; to praise",pictophonetic,hand
换,"to change; to exchange, to swap, to trade",pictophonetic,hand
揞,"to cover, to conceal; to apply medicine or make-up",pictophonetic,hand
揠,"to weed out, to pull up, to eradicate",pictophonetic,hand
握,"to grasp, to hold, to take by the hand",pictophonetic,hand
揣,"to stow in one's clothes; to estimate, to guess, to figure",pictophonetic,hand
揩,"to wipe, to rub, to dust, to clean",pictophonetic,hand
揪,"to pinch, to grasp",pictophonetic,hand
揭,"to lift off a cover; to reveal, to divulge; surname",pictophonetic,hand
挥,to direct; to squander; to wave; to wipe away,ideographic,To direct an army 军 by hand 扌
揲,to sort out divining stalks,pictophonetic,hand
援,"to assist; to lead; to quote, to cite",ideographic,To lead 爰 by hand 扌; 爰 also provides the pronunciation
揶,"to ridicule, to poke fun at",pictophonetic,hand
揸,"handful; to grasp, to seize",pictophonetic,hand
背,"back, backside; to betray, to violate",pictophonetic,flesh
构,"to compose, to make; building, frame, structure",pictophonetic,wood
揿,to press,pictophonetic,hand
搋,to thump,pictophonetic,hand
搌,"to dab, to sop up, to wipe away tears",pictophonetic,hand
损,"to damage, to harm",pictophonetic,hand
搏,combat; to fight; to strike,pictophonetic,hand
搐,"cramp, spasm; to convulse, to twitch",pictophonetic,hand
搓,to rub or roll between the hands,pictophonetic,hand
搔,to scratch,ideographic,To scratch 扌 a flea bite 蚤; 蚤 also provides the pronunciation
摇,"to rock, to shake; to swing, to wave",pictophonetic,hand
捣,"to thresh, to pound; to stir, to disturb; to attack",pictophonetic,hand
搛,to pick up with chopsticks,ideographic,To grip 扌with chopsticks 兼; 兼 also provides the pronunciation
搜,"to seek, to search, to investigate",pictophonetic,hand
搞,"to do, to fix, to make, to settle",pictophonetic,hand
搠,to daub; to thrust,pictophonetic,hand
搡,to push over; to push back,pictophonetic,hand
搦,"to grasp, to seize; to challenge, to provoke",pictophonetic,hand
搪,"to parry, to block; to ward off, to evade",pictophonetic,hand
搬,"to move, to remove, to shift, to transfer",pictophonetic,hand
搭,"to attach, to build, to join",pictophonetic,hand
搴,to extract; to pluck; to seize,pictophonetic,hand
抢,"urgent, rushed; to rob, to plunder",pictophonetic,hand
搽,"to wipe, to smear, to rub, to anoint",pictophonetic,hand
榨,to press for juice; a juicer; a vegetable,pictophonetic,tree
搿,to hug,ideographic,To clasp 合 with both hands 手
摀,"to conceal, to hide; to cover with a hand",pictophonetic,hand
摁,to press with a finger,pictophonetic,hand
掴,"to slap, to box one's ears",pictophonetic,hand
摒,"to expel, to cast off; to arrange",pictophonetic,hand
摔,"to fall, to stumble, to trip",pictophonetic,hand
摘,"to pick, to pluck, to select, to take",ideographic,To pick 扌 a fruit off a branch 啇
掼,"to fling, to smash; to know, to be familiar",pictophonetic,hand
摞,to pile up,ideographic,To pile up 累 by hand 扌; 累 also provides the pronunciation
搂,"to embrace, to hug; to drag, to pull",pictophonetic,hand
摧,"to destroy, to wreck",pictophonetic,hand
摩,"to scour, to rub, to grind; friction",pictophonetic,hand
摭,"to gather, to pick up",pictophonetic,hand
挚,"sincere, warm, cordial; surname",ideographic,To shake 执 hands 手; 执 also provides the pronunciation
抠,"to lift, to raise; tight-fisted",pictophonetic,hand
抟,to roll around in one's hand; to model,pictophonetic,hand
摸,"to caress, to stroke, to gently touch",pictophonetic,hand
摹,"to trace; to imitate, to copy; pattern",pictophonetic,hand
摺,"to bend, to fold; curved, twisted",ideographic,Skill 習 in paper-folding扌 ; 習 also provides the pronunciation
掺,"to mix, to blend, to adulterate",pictophonetic,hand
摽,"to sign, to signal; to throw",pictophonetic,hand
撂,"to put down, to put aside, to drop",pictophonetic,hand
撅,"to snap, to break; to protrude; to pout",pictophonetic,hand
撇,"to abandon, to discard",pictophonetic,hand
捞,to dredge up; to fish for; to scoop out of the water,pictophonetic,hand
撑,"to support, to prop up, to brace; overflowing",pictophonetic,hand
撒,"to disperse, to let go, to relax",ideographic,To scatter 散 seeds by hand 扌; 散 also provides the pronunciation
挠,"to yield; to scratch, to disturb",pictophonetic,hand
撕,"to rip, to tear; to buy cloth",pictophonetic,hand
撖,,pictophonetic,hand
撙,"to cut down, to reduce, to regulate; to rein in spending",pictophonetic,hand
撞,"to bump into, to collide, to hit, to knock against",pictophonetic,hand
挢,to correct,pictophonetic,hand
操,"to conduct, to manage, to run",pictophonetic,hand
掸,to dust; a duster,pictophonetic,hand
撤,to omit; to remove; to withdraw,,
拨,"to stir, to move, to distribute, to allocate",ideographic,To dispatch 发 goods by hand 扌
撩,"to lift, to raise; to provoke, to tease; to push aside clothing",pictophonetic,hand
抚,"to pat, to console; to stroke, to caress",pictophonetic,hand
撬,"to lift, to raise, to pry off a lid",pictophonetic,hand
播,"to sow seeds, to scatter; to broadcast, to spread",ideographic,To sow seeds 番 by hand 扌; 番 also provides the pronunciation
撮,"dash, pinch, small amount",pictophonetic,hand
撰,"to compose, to write",pictophonetic,hand
扑,"to attack, to beat, to hit, to strike",pictophonetic,hand
挞,"to whip, to flog, to chastise",pictophonetic,hand
撼,"to incite, to move, to shake",pictophonetic,hand
挝,to beat; to strike,pictophonetic,hand
捡,"to pick up, to gather, to collect",pictophonetic,hand
擀,to roll or knead dough,pictophonetic,hand
拥,"to have, to hold; to embrace, to hug; to flock, to throng",pictophonetic,hand
擂,"to rub, to grind; to use a mortar and pestle",pictophonetic,hand
掳,"to capture, to seize",ideographic,To catch 虏 someone by the hand 扌; 虏 also provides the pronunciation
擅,"to claim, to monopolize; arbitrary",pictophonetic,hand
择,"to select, to choose",,
击,"to strike, to hit, to beat; to attack, to fight",ideographic,Simplified form of 擊; 手 provides the meaning
挡,"to block, to obstruct; to get in the way; cover, guard",ideographic,A hand 扌 raised at the right time 当; 当 also provides the pronunciation
擎,"to lift; to support, to hold up",pictophonetic,hand
擐,"to wear, to put on armor",ideographic,To don 扌 clothes 衣; 睘 also provides the pronunciation
擒,"to arrest, to capture, to seize",ideographic,To catch 禽 by hand 扌; 禽 also provides the pronunciation
担,"to bear, to carry; burden, responsibility",pictophonetic,hand
擗,to beat the breast,pictophonetic,hand
擘,"thumb; to rip, to tear; to split, to analyze",pictophonetic,hand
挤,"to squeeze, to push against; crowded",pictophonetic,hand
擢,"to pull up, to raise; to select",pictophonetic,hand
擤,to blow the nose with fingers,ideographic,To use a hand 扌 to blow the nose 鼻
擦,"to clean, to erase, to polish; a brush",pictophonetic,hand
举,to raise; to recommend; to praise,pictophonetic,hand
摈,"to exclude, to expel, to reject; to usher",pictophonetic,hand
拧,"screw, wrench; to pinch, to twist, to wring",pictophonetic,hand
搁,"to place, to lay down; to delay",pictophonetic,hand
掷,"to throw, to hurl, to fling, to cast",pictophonetic,hand
扩,"to expand, to stretch, to magnify",pictophonetic,wide
撷,"to pick up, to gather, to acquire; to hold in one's lap",pictophonetic,hand
摆,"to arrange, to display; pendulum, swing",pictophonetic,hand
擞,"to tremble, to shake, to quake, to flutter",pictophonetic,hand
撸,to reprimand; to fire an employee,pictophonetic,hand
扰,"to poke, to disturb, to annoy, to agitate",pictophonetic,hand
擿,"to select, to pick out; to discard",ideographic,To select 扌 a match 適; 適 also provides the pronunciation
攀,"to climb, to hang on, to pull up",pictophonetic,hand
摅,"to disperse, to spread, to vent; to send forth",pictophonetic,hand
